Date,GOOGL,FB,NFLX,AMZN,BBBY,COST,DLTR,FOX,Gold,PEP
2015-11-30,762.849976,104.239998,123.330002,664.799988,52.698025,151.19252,75.459999,29.043383,58.069462,93.304436
2015-12-01,783.789978,107.120003,125.370003,679.059998,52.079422,151.070755,75.970001,29.344,60.800449,94.14283
2015-12-02,777.849976,106.07,128.929993,676.01001,51.944096,150.883453,76.040001,29.043383,60.091351,93.319679
2015-12-03,768.200012,104.379997,126.809998,666.25,51.576801,153.299973,74.089996,28.810648,60.397991,92.953812
2015-12-04,779.210022,106.18,130.929993,672.640015,52.572376,156.231674,77.239998,29.091871,62.45821,94.801819
2015-12-07,772.98999,105.610001,125.360001,669.830017,52.504711,156.531372,78.449997,29.120962,60.05302,94.435982
2015-12-08,775.140015,106.489998,126.980003,677.330017,52.050423,158.170517,79.480003,28.607006,58.778564,93.966942
2015-12-09,762.549988,104.599998,124.199997,664.789978,51.634785,149.60025,78.449997,28.093048,60.273422,92.991333
2015-12-10,760.039978,105.419998,122.910004,662.320007,52.079422,151.604645,77.809998,28.170628,60.033859,92.775589
2015-12-11,750.419983,102.120003,118.910004,640.150024,50.871185,149.881226,76.449997,27.30757,59.7943,91.72493
2015-12-14,762.539978,104.660004,120.669998,657.909973,50.455563,151.585907,77.709999,27.152411,57.542427,91.884415
2015-12-15,760.090027,104.550003,118.599998,658.640015,51.025848,151.070755,77.339996,27.249386,57.829899,93.235237
2015-12-16,776.590027,106.790001,122.639999,675.77002,51.789448,152.447601,78.860001,27.637276,59.593063,94.820587
2015-12-17,769.830017,106.220001,122.510002,670.650024,49.981937,150.49942,76.580002,27.37545,56.766254,93.995079
2015-12-18,756.849976,104.040001,118.019997,664.140015,48.483738,147.708237,76.089996,26.987556,57.034561,91.837509
2015-12-21,760.799988,104.769997,116.629997,664.51001,48.677052,149.291138,76.900002,26.754824,57.571178,92.512924
2015-12-22,767.130005,105.510002,116.239998,663.150024,49.604969,151.014587,77.860001,26.764523,58.328182,93.619858
2015-12-23,768.51001,104.629997,118.160004,663.700012,47.333504,151.464188,77.040001,26.764523,60.235092,94.407845
2015-12-24,765.840027,105.019997,117.330002,662.789978,47.314167,151.501633,76.68,26.706335,60.541725,94.314026
2015-12-28,782.23999,105.93,117.110001,675.200012,47.101521,150.94899,77.239998,26.619061,59.487663,94.445351
2015-12-29,793.960022,107.260002,119.120003,693.969971,47.256176,152.353989,78.019997,26.764523,59.7943,95.167679
2015-12-30,790.299988,106.220001,116.709999,689.070007,46.985531,152.400787,77.620003,26.522087,59.458912,94.886261
2015-12-31,778.01001,104.660004,114.379997,675.890015,46.637569,151.267441,77.220001,26.405718,59.343922,93.732422
2016-01-04,759.440002,102.220001,109.959999,636.98999,46.850216,149.431671,78.809998,25.804491,59.870956,92.653641
2016-01-05,761.530029,102.730003,107.660004,633.789978,47.401165,149.796951,79.980003,25.794792,59.966785,93.291519
2016-01-06,759.330017,102.970001,117.68,632.650024,45.448666,148.41069,80.519997,25.697817,60.445904,93.319679
2016-01-07,741,97.919998,114.559998,607.940002,44.955708,145.010712,78.449997,25.135374,62.994827,91.527946
2016-01-08,730.909973,97.330002,111.389999,607.049988,45.081367,142.472412,77.790001,25.145075,61.116669,91.190231
2016-01-11,733.070007,97.510002,114.970001,617.73999,44.598076,144.917038,77.360001,25.212955,60.062607,91.405998
2016-01-12,745.340027,99.370003,116.580002,617.890015,44.105122,146.172134,78.699997,25.659029,58.443176,91.574852
2016-01-13,719.570007,95.440002,106.559998,581.809998,42.954887,142.481766,75.480003,25.028706,59.142696,90.524208
2016-01-14,731.390015,98.370003,107.059998,593,42.751904,143.474594,75.699997,25.969343,58.481503,89.87693
2016-01-15,710.48999,94.970001,104.040001,570.179993,42.906555,140.861389,75.300003,25.377808,59.52599,88.113358
2016-01-19,719.080017,95.260002,107.889999,574.47998,41.775661,140.93631,76.889999,25.775396,58.337772,89.839409
2016-01-20,718.559998,94.349998,107.739998,571.77002,41.485683,139.390869,76.029999,24.970524,60.685463,87.963272
2016-01-21,726.669983,94.160004,102.349998,575.02002,41.910984,140.85202,77.029999,24.84446,62.400719,88.619919
2016-01-22,745.460022,97.940002,100.720001,596.380005,42.229954,143.952316,77.260002,25.610544,62.927753,89.914467
2016-01-25,733.619995,97.010002,99.120003,596.530029,41.93998,141.226685,76.599998,25.212955,62.870255,89.998886
2016-01-26,733.789978,97.339996,97.830002,601.25,42.587585,139.091141,77.690002,26.143894,66.089951,90.355354
2016-01-27,717.580017,94.449997,91.150002,583.349976,41.621006,138.369919,77.970001,25.775396,66.233688,89.998886
2016-01-28,748.299988,109.110001,94.410004,635.349976,40.538433,140.112045,78.910004,25.435993,66.588226,91.415367
2016-01-29,761.349976,112.209999,91.839996,587,41.727329,141.545135,81.32,26.279657,67.766869,93.150818
2016-02-01,770.77002,115.089996,94.089996,574.809998,42.200954,141.666885,81.980003,26.289354,69.539619,92.897537
2016-02-02,780.909973,114.610001,91.489998,552.099976,40.992725,139.091141,81.690002,25.271137,69.501289,92.128326
2016-02-03,749.380005,112.690002,90.739998,531.070007,41.282696,137.405167,79.589996,25.697817,72.059792,92.606735
2016-02-04,730.030029,110.489998,89.709999,536.26001,41.804657,134.201859,76.669998,25.435993,73.592987,91.359093
2016-02-05,703.76001,104.07,82.790001,502.130005,41.968971,134.866867,76.559998,24.282015,75.03035,91.293419
2016-02-08,704.159973,99.75,83.32,488.100006,42.278282,137.70491,75.330002,23.797152,81.565559,91.481041
2016-02-09,701.02002,99.540001,86.129997,482.070007,42.210613,138.56662,75.239998,23.477139,80.540237,92.19397
2016-02-10,706.849976,101,88.449997,490.480011,42.017307,139.045593,75.150002,23.719568,81.124763,91.574852
2016-02-11,706.359985,101.910004,86.349998,503.820007,40.780079,137.730728,73.43,23.962004,84.191139,90.899437
2016-02-12,706.890015,102.010002,87.400002,507.079987,41.505016,139.6091,75.230003,23.923216,86.510078,92.390984
2016-02-16,717.640015,101.610001,89.050003,521.099976,43.119205,140.041107,78.550003,24.854153,80.885216,92.494148
